forecast_created_at,target_date,series_id,model_name,model_version,point_forecast,lower_bound,upper_bound,training_start,training_end,backtest_mae,backtest_mape,observations_used,data_frequency
2026-08-10T21:51:51Z,2026-08-01,DDR5 (Keepa),naive_last_value,2.0.0,11.40609,7.809311,15.002869,2024-08-01,2026-07-01,1.823927,23.4686,24,monthly
2026-08-10T21:51:51Z,2026-08-01,DRAM cheapest (Keepa),theta,2.0.0,3.61593,1.535831,5.696028,2024-08-01,2026-07-01,0.682677,20.0705,24,monthly
2026-08-10T21:51:51Z,2026-08-01,NAND cheapest (Keepa),naive_last_value,2.0.0,0.105,0.092699,0.117301,2016-10-01,2026-07-01,0.004687,8.1543,118,monthly
2026-08-10T21:51:51Z,2026-10-01,DDR3 (Keepa),rolling_mean_3,2.0.0,3.496204,0.0,7.294591,2024-08-01,2026-07-01,0.769608,19.9497,24,monthly
2026-08-10T21:51:51Z,2026-10-01,DDR4 (Keepa),naive_last_value,2.0.0,8.40625,4.391023,12.421477,2024-08-01,2026-07-01,0.849011,17.6204,24,monthly
2026-08-10T21:51:51Z,2026-10-01,DDR5 (Keepa),naive_last_value,2.0.0,11.40609,5.176286,17.635894,2024-08-01,2026-07-01,1.823927,23.4686,24,monthly
2026-08-10T21:51:51Z,2026-10-01,DRAM cheapest (Keepa),theta,2.0.0,3.739072,0.136236,7.341909,2024-08-01,2026-07-01,0.682677,20.0705,24,monthly
2026-08-10T21:51:51Z,2026-10-01,NAND cheapest (Keepa),naive_last_value,2.0.0,0.105,0.083695,0.126305,2016-10-01,2026-07-01,0.004687,8.1543,118,monthly
2026-08-10T21:51:51Z,2027-01-01,DDR3 (Keepa),rolling_mean_3,2.0.0,3.507495,0.0,8.879226,2024-08-01,2026-07-01,0.769608,19.9497,24,monthly
2026-08-10T21:51:51Z,2027-01-01,DDR4 (Keepa),naive_last_value,2.0.0,8.40625,2.727861,14.084639,2024-08-01,2026-07-01,0.849011,17.6204,24,monthly
2026-08-10T21:51:51Z,2027-01-01,DDR5 (Keepa),naive_last_value,2.0.0,11.40609,2.595817,20.216363,2024-08-01,2026-07-01,1.823927,23.4686,24,monthly
2026-08-10T21:51:51Z,2027-01-01,DRAM cheapest (Keepa),theta,2.0.0,3.923786,0.0,9.018966,2024-08-01,2026-07-01,0.682677,20.0705,24,monthly
2026-08-10T21:51:51Z,2027-01-01,NAND cheapest (Keepa),naive_last_value,2.0.0,0.105,0.07487,0.13513,2016-10-01,2026-07-01,0.004687,8.1543,118,monthly
